arm,epoch,kind,side,sec,ask,fill_px,p,p_venue,ev,thr,rv60,move_bps,spent,win,pnl
8796,1789924500,EF,DOWN,60.4,0.34,0.34,0.5098,0.665,0.4301,0.25,0.2214,-1.23,2.99,0,-2.9921
8795,1789924800,EF,UP,57.5,0.55,0.55,0.6776,0.545,0.1932,0.15,0.1395,2.46,2.99,0,-2.9913
8796,1789924800,EF,UP,57.4,0.56,0.56,0.6776,0.555,0.1728,0.15,0.109,2.46,3,0,-2.9996
8795,1789925100,EF,DOWN,112.3,0.3,0.3,0.5098,0.705,0.6161,0.25,0.4259,-1.78,2.99,1,6.5103
8796,1789925100,EF,DOWN,112.2,0.3,0.3,0.5098,0.705,0.6161,0.25,0.4253,-1.78,2.99,1,6.5103
8795,1789926000,EF,UP,122.4,0.35,0.35,0.5314,0.335,0.4492,0.25,0.2652,1.97,1.83,0,-1.8296
8796,1789926000,EF,UP,122.5,0.38,0.38,0.5694,0.36,0.4335,0.25,0.2743,1.97,2.99,0,-2.9946
8795,1789926300,EF,DOWN,68.1,0.34,0.34,0.5098,0.665,0.4301,0.25,0.4822,-0.74,2.99,1,5.4196
8796,1789926300,EF,DOWN,162.7,0.39,0.39,0.5943,0.615,0.4589,0.25,0.2053,-2.7,2.99,1,4.3664
8795,1789926900,EF,UP,117.3,0.51,0.51,0.6776,0.505,0.2831,0.25,0.8791,1.23,2.64,0,-2.6375
8796,1789926900,EF,UP,117.2,0.51,0.51,0.6776,0.505,0.2831,0.25,0.9159,1.23,3,0,-2.9995
8795,1789927200,EF,DOWN,120.5,0.51,0.51,0.6975,0.495,0.3207,0.25,0.4479,-4.07,3,1,2.6868
8796,1789927200,EF,DOWN,128.1,0.53,0.53,0.6975,0.475,0.2727,0.25,0.4543,-5.17,3,1,2.4763
8795,1789927500,EF,UP,146.2,0.29,0.29,0.5314,0.285,0.7413,0.25,0.5589,0.7,2.99,1,6.8359
8796,1789927500,EF,UP,145.7,0.36,0.36,0.5694,0.345,0.5109,0.25,0.4861,0.42,3,1,4.9736
8796,1789929000,EF,DOWN,93.5,0.47,0.47,0.6272,0.535,0.2849,0.25,0.7559,-0.99,3,1,3.1517
8795,1789929600,EF,UP,104.2,0.53,0.53,0.6776,0.525,0.2365,0.15,0.0658,2.17,3,1,2.4763
8796,1789929600,EF,UP,65.4,0.56,0.56,0.6776,0.555,0.1728,0.15,0.1479,2.66,3,1,2.1968
8795,1789929900,EF,DOWN,27.4,0.51,0.51,0.6272,0.495,0.1876,0.15,0.056,-0.06,3,1,2.6868
8796,1789929900,EF,DOWN,25.8,0.51,0.51,0.6272,0.495,0.1876,0.15,0.0591,-0.06,3,1,2.6868
8795,1789930500,EF,UP,75.3,0.56,0.56,0.6776,0.555,0.1728,0.15,0.1565,-0,3,0,-2.9996
8796,1789930500,EF,DOWN,157,0.48,0.48,0.6975,0.525,0.4002,0.25,0.3768,-1.45,3,1,3.0256
8795,1789931100,EF,DOWN,107,0.34,0.34,0.5098,0.665,0.4301,0.25,0.3387,0.1,2.99,0,-2.9921
8796,1789931100,EF,DOWN,107.1,0.34,0.34,0.5098,0.665,0.4301,0.25,0.3387,0.1,2.99,0,-2.9921
8796,1789931400,EF,DOWN,45.7,0.43,0.43,0.5943,0.575,0.327,0.25,0.2804,-1.92,2.99,1,3.7028
8795,1789931700,EF,UP,79.7,0.41,0.41,0.5314,0.405,0.2426,0.15,0.0616,0.48,3,0,-2.9989
8796,1789932000,EF,DOWN,130.3,0.43,0.43,0.5402,0.575,0.2061,0.15,0.1604,1.72,2.99,0,-2.9949
8795,1789932300,EF,UP,148.3,0.46,0.46,0.5694,0.455,0.1911,0.15,0.0994,-0.52,3,1,3.2834
8796,1789932300,EF,UP,148.4,0.55,0.55,0.6776,0.545,0.1932,0.15,0.0994,-0.52,2.99,1,2.2814
8795,1789933200,EF,DOWN,205.6,0.44,0.44,0.5755,0.565,0.2566,0.15,0.0542,-0.79,2.99,1,3.5526
8796,1789933200,EF,DOWN,205.4,0.44,0.44,0.5402,0.565,0.1796,0.15,0.0007,-0.37,2.99,1,3.5526
8795,1789934700,EF,DOWN,171.2,0.4,0.4,0.5098,0.605,0.221,0.15,0.0545,0,2.99,1,4.1845
8796,1789934700,EF,DOWN,177.3,0.41,0.41,0.5098,0.595,0.1921,0.15,0.0545,0,3,1,4.0255
8795,1789935600,EF,DOWN,171.2,0.38,0.38,0.5098,0.63,0.2834,0.25,0.3306,-0.81,2.99,1,4.5581
8796,1789935600,EF,DOWN,100.9,0.57,0.57,0.6975,0.44,0.1868,0.15,0.0857,-1.23,3,1,2.1077
8795,1789935900,EF,UP,120,0.47,0.47,0.623,0.465,0.2764,0.25,0.2174,1.41,3,1,3.1517
8796,1789935900,EF,UP,120,0.47,0.4718,0.623,0.465,0.2764,0.25,0.2121,1.41,3,1,3.1282
8795,1789937100,EF,UP,43.4,0.51,0.51,0.623,0.505,0.1797,0.15,0.1262,1.02,3,0,-2.9995
8796,1789937100,EF,DOWN,159.1,0.47,0.47,0.6272,0.535,0.2849,0.25,0.9076,1.02,3,1,5.4331
8796,1789937100,REVERSAL,DOWN,170.6,,0.55,0.6809,,,0,,,2.99,1,5.4331
8795,1789937400,EF,DOWN,15.2,0.51,0.51,0.6272,0.495,0.1876,0.15,0.1188,-0.25,3,1,2.6868
8795,1789937700,EF,UP,117,0.56,0.56,0.6776,0.555,0.1728,0.15,0.0603,0.47,3,1,2.1968
8795,1789938000,EF,DOWN,22,0.49,0.49,0.6272,0.515,0.2342,0.15,0.0778,-0.61,2.99,1,2.9048
8796,1789938000,EF,DOWN,21.6,0.5,0.5,0.6272,0.505,0.2104,0.15,0.0778,-0.61,2.99,1,2.7889
8796,1789939200,EF,DOWN,47.5,0.25,0.25,0.5402,0.755,1.0473,0.25,1.1036,-4.45,3,1,16.8007
8796,1789939200,REVERSAL,DOWN,48.3,,0.25,0.7397,,,0,,,3,1,16.8007
8795,1789940100,EF,UP,171.5,0.55,0.55,0.6776,0.545,0.1932,0.15,0.1648,-0.31,2.99,1,2.2814
8796,1789940100,EF,UP,171.2,0.55,0.55,0.6776,0.545,0.1932,0.15,0.1507,-0.31,2.99,1,4.5628
8796,1789940100,REVERSAL,UP,176.3,,0.55,0.6212,,,0,,,2.99,1,4.5628
8795,1789941000,EF,UP,96.8,0.51,0.51,0.623,0.505,0.1797,0.15,0.0545,0.72,3,0,-2.9995
8796,1789941000,EF,UP,96.6,0.42,0.42,0.5314,0.415,0.2139,0.15,0.0493,0.66,3,0,-2.9969
8795,1789941600,EF,DOWN,76.2,0.33,0.33,0.5098,0.675,0.4724,0.25,0.5362,2.51,2.99,1,5.6725
8796,1789941600,EF,DOWN,75.3,0.33,0.33,0.5098,0.675,0.4724,0.25,0.5477,2.51,2.99,1,5.6725
8795,1789943100,EF,DOWN,112.7,0.4,0.4,0.5438,0.605,0.3025,0.25,0.4242,0.31,2.99,0,-2.9905
8796,1789943100,EF,DOWN,112.7,0.4,0.4,0.5438,0.605,0.3025,0.25,0.4279,0.25,2.99,0,-2.9905
8795,1789943400,EF,DOWN,56.8,0.48,0.48,0.5909,0.525,0.1862,0.15,0.0807,-0.49,3,0,-2.9952
8796,1789943400,EF,DOWN,167,0.38,0.38,0.5438,0.625,0.369,0.25,0.1842,-0.25,2.99,0,-2.9946
8795,1789944600,EF,DOWN,155.8,0.37,0.37,0.5438,0.64,0.405,0.25,0.5975,1.52,3,0,-2.9966
8796,1789944600,EF,DOWN,161,0.36,0.36,0.5098,0.65,0.3527,0.25,0.6021,1.52,3,0,-2.9986
8795,1789945500,EF,UP,179.8,0.47,0.47,0.623,0.465,0.2764,0.25,0.242,2.06,3,1,3.1517
